period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1206239,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1205342,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1204745,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1206239,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1207594,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1225514,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1223514,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1223002,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1225514,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1228063,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1206572,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1205620,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1204889,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1206572,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1207632,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,342,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,285,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,150,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,342,megawatthours
2026-01-14,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,48,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1250388,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1250167,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1249704,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1250388,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1250207,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1262910,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1264031,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1263885,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1262910,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1261675,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1249445,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1248715,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1247935,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1249445,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1250118,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-948,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-1454,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-1770,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-948,megawatthours
2026-01-15,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-96,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1218488,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1217714,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1217324,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1218488,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1219425,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1224220,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1223530,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1222317,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1224220,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1225269,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1219700,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1219413,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1219193,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1219700,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1220148,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,1210,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,1696,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,1865,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,1210,megawatthours
